               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,           0.0098181,           0.0070874,            0.077428,           0.0049193,                   1,            0.094368,            0.085839,            0.003982,            0.002556,            0.037417,           0.0089506,           0.0089506,           0.0089506
                 108,            0.010378,           0.0068103,            0.077719,            0.004933,                   1,            0.099039,            0.094399,           0.0032016,           0.0026406,            0.037359,           0.0089407,           0.0089407,           0.0089407
                 109,           0.0097483,           0.0069894,            0.077359,           0.0049351,                   1,            0.099234,             0.08815,           0.0045511,           0.0028119,            0.037297,           0.0089308,           0.0089308,           0.0089308
                 110,           0.0094912,           0.0075502,             0.07901,           0.0049176,                   1,            0.086427,            0.081306,           0.0045823,           0.0031074,            0.037311,           0.0089209,           0.0089209,           0.0089209
                 111,           0.0093874,           0.0066401,            0.079613,           0.0049127,                   1,             0.10047,            0.092278,           0.0039176,           0.0025557,            0.037205,            0.008911,            0.008911,            0.008911
                 112,           0.0095365,           0.0064988,            0.079023,            0.004857,                   1,            0.095637,            0.091791,           0.0033114,           0.0027409,            0.037211,           0.0089011,           0.0089011,           0.0089011
                 113,           0.0092954,           0.0062736,            0.077621,           0.0048865,                   1,            0.091952,            0.086668,           0.0034872,           0.0028542,            0.037244,           0.0088912,           0.0088912,           0.0088912
                 114,            0.010855,           0.0071262,            0.080427,           0.0048819,                   1,             0.10323,            0.098156,           0.0046405,           0.0029673,            0.037336,           0.0088813,           0.0088813,           0.0088813
                 115,            0.011822,           0.0066859,             0.08416,           0.0048839,                   1,            0.093775,            0.087029,           0.0046224,           0.0028158,            0.037348,           0.0088714,           0.0088714,           0.0088714
                 116,            0.009724,           0.0069065,            0.078638,           0.0049032,                   1,            0.095246,            0.083702,           0.0061261,           0.0028031,            0.037273,           0.0088615,           0.0088615,           0.0088615
                 117,             0.01128,           0.0068856,            0.079295,           0.0049247,                   1,            0.095799,            0.091528,            0.004454,           0.0028998,            0.037156,           0.0088516,           0.0088516,           0.0088516
                 118,           0.0092712,           0.0069142,             0.07898,            0.004929,                   1,            0.093416,             0.08477,           0.0043497,           0.0026138,            0.037073,           0.0088417,           0.0088417,           0.0088417
                 119,           0.0091433,           0.0066107,            0.078708,           0.0049089,                   1,            0.096962,            0.093753,           0.0037282,           0.0024921,            0.037033,           0.0088318,           0.0088318,           0.0088318
                 120,           0.0095513,           0.0064506,            0.079746,           0.0048997,                   1,            0.093373,             0.08991,           0.0031545,           0.0023033,            0.037008,           0.0088219,           0.0088219,           0.0088219
                 121,            0.010425,           0.0068306,            0.077504,           0.0049259,                   1,            0.087606,            0.076269,           0.0044905,           0.0025406,            0.036914,            0.008812,            0.008812,            0.008812
                 122,            0.011334,           0.0069734,            0.079521,           0.0049414,                   1,            0.086221,            0.079003,           0.0036353,           0.0026137,            0.036876,           0.0088021,           0.0088021,           0.0088021
                 123,            0.010619,           0.0068409,            0.080485,           0.0049002,                   1,            0.092295,            0.087969,           0.0045768,           0.0023109,            0.036875,           0.0087922,           0.0087922,           0.0087922
                 124,           0.0086418,           0.0066129,             0.07719,           0.0048871,                   1,            0.091668,            0.084282,           0.0041267,           0.0021821,              0.0369,           0.0087823,           0.0087823,           0.0087823
                 125,           0.0093755,           0.0064762,            0.077569,           0.0048949,                   1,            0.088621,            0.083249,           0.0045277,           0.0023355,            0.036817,           0.0087724,           0.0087724,           0.0087724
                 126,            0.011021,           0.0065193,            0.080659,           0.0049282,                   1,            0.088779,            0.084507,           0.0039729,           0.0022562,            0.036808,           0.0087625,           0.0087625,           0.0087625
                 127,           0.0086259,            0.006528,            0.077374,           0.0049582,                   1,            0.089742,            0.075672,           0.0053624,           0.0022118,            0.036794,           0.0087526,           0.0087526,           0.0087526
                 128,           0.0089711,           0.0064963,            0.077234,           0.0049627,                   1,            0.092964,            0.088598,           0.0035119,           0.0022369,            0.036703,           0.0087427,           0.0087427,           0.0087427
                 129,            0.010195,           0.0069015,            0.077529,           0.0049183,                   1,            0.088706,            0.080197,           0.0032983,            0.002411,            0.036622,           0.0087328,           0.0087328,           0.0087328
                 130,            0.010038,           0.0066653,            0.078655,           0.0049041,                   1,            0.094581,            0.090108,           0.0051352,           0.0027349,            0.036575,           0.0087229,           0.0087229,           0.0087229
                 131,            0.010168,           0.0069196,            0.079917,           0.0049035,                   1,            0.093705,             0.08784,           0.0033153,            0.002877,            0.036592,            0.008713,            0.008713,            0.008713
                 132,           0.0087957,           0.0068862,            0.076929,           0.0049036,                   1,            0.091753,             0.08448,            0.002963,           0.0027365,            0.036537,           0.0087031,           0.0087031,           0.0087031
                 133,            0.010732,            0.006644,            0.080013,           0.0049002,                   1,            0.097439,            0.088352,           0.0042349,           0.0026873,              0.0364,           0.0086932,           0.0086932,           0.0086932
                 134,           0.0092708,           0.0065486,            0.076984,           0.0048934,                   1,            0.099539,            0.086358,           0.0046517,           0.0028205,            0.036411,           0.0086833,           0.0086833,           0.0086833
                 135,           0.0080252,           0.0065485,            0.077301,           0.0048848,                   1,             0.09873,            0.090062,           0.0047672,           0.0027311,            0.036381,           0.0086734,           0.0086734,           0.0086734
                 136,           0.0084812,           0.0066143,            0.076996,           0.0048466,                   1,             0.10641,            0.097215,           0.0036705,           0.0027071,            0.036312,           0.0086635,           0.0086635,           0.0086635
                 137,           0.0086852,           0.0064112,            0.077674,            0.004915,                   1,            0.097033,            0.085052,            0.005583,            0.002625,             0.03625,           0.0086536,           0.0086536,           0.0086536
                 138,           0.0085495,           0.0066076,            0.077401,           0.0049208,                   1,            0.087679,             0.06958,            0.006659,           0.0025096,            0.036304,           0.0086437,           0.0086437,           0.0086437
                 139,           0.0082251,           0.0066493,            0.076864,           0.0049107,                   1,            0.098435,            0.084381,           0.0040373,           0.0028932,            0.036417,           0.0086338,           0.0086338,           0.0086338
                 140,           0.0086755,           0.0067314,            0.076134,           0.0048918,             0.99512,            0.093872,            0.080857,           0.0051157,           0.0028768,            0.036484,           0.0086239,           0.0086239,           0.0086239
                 141,            0.010423,           0.0067314,            0.077851,           0.0049085,                   1,            0.094107,             0.08557,           0.0045483,           0.0027027,            0.036354,            0.008614,            0.008614,            0.008614
                 142,           0.0089432,           0.0068682,            0.077505,             0.91189,            0.048922,             0.10262,            0.093136,            0.003623,           0.0025001,            0.036181,           0.0086041,           0.0086041,           0.0086041
                 143,           0.0099349,           0.0063789,             0.07813,             0.93624,             0.04878,            0.099891,            0.096226,           0.0049116,           0.0026909,            0.036047,           0.0085942,           0.0085942,           0.0085942
                 144,           0.0099218,           0.0066202,             0.07929,             0.83734,            0.091136,             0.11081,            0.096366,           0.0061595,            0.002885,            0.035933,           0.0085843,           0.0085843,           0.0085843
                 145,           0.0096593,           0.0066899,            0.078312,           0.0050226,                   1,             0.10431,            0.086996,           0.0063851,           0.0024968,             0.03585,           0.0085744,           0.0085744,           0.0085744
                 146,           0.0095854,           0.0069247,            0.076513,           0.0049571,                   1,             0.11158,            0.099043,           0.0051018,           0.0024248,            0.035934,           0.0085645,           0.0085645,           0.0085645
                 147,           0.0099421,           0.0067962,            0.077826,           0.0049236,                   1,             0.10682,             0.09535,           0.0064657,           0.0029275,            0.035973,           0.0085546,           0.0085546,           0.0085546
                 148,            0.011162,            0.006978,            0.079845,           0.0048784,                   1,             0.11482,             0.10882,           0.0045414,           0.0030695,            0.036028,           0.0085447,           0.0085447,           0.0085447
                 149,           0.0094624,           0.0065075,            0.076547,             0.95583,             0.04878,             0.10131,            0.093874,           0.0048124,           0.0030336,            0.035994,           0.0085348,           0.0085348,           0.0085348
                 150,           0.0095896,           0.0070215,            0.077326,             0.92255,              0.0517,             0.10835,            0.096475,           0.0034539,           0.0029597,            0.036094,           0.0085249,           0.0085249,           0.0085249
                 151,           0.0089744,           0.0063412,            0.078219,             0.87428,            0.063415,              0.1122,             0.10747,           0.0033266,           0.0027201,             0.03609,            0.008515,            0.008515,            0.008515
                 152,           0.0096056,           0.0067363,            0.077697,              0.9509,             0.04878,            0.097956,            0.089511,           0.0036922,           0.0025976,            0.036019,           0.0085051,           0.0085051,           0.0085051
